ean - SupabaseID + Shopify ID,∞ Shopify Id,prix_achat,produit_en_ligne_nom_du_produit,produit_en_ligne_ddm,produit_en_ligne_stock_actuel,produit_en_ligne_prix_public,produit_en_ligne_rayon,produit_en_ligne_prix_vente,produit_en_ligne_sous_rayon,produit_en_ligne_categorie,quantite_vendue,Date première vente visible
3291960011633 - Emma Noël - Huile vierge de nigelle bio - 50ml - 2669 - 8926584897863,8926584897863,€2.73,Huile vierge de nigelle bio - 50ml,28/5/2025,16,€9.32,Hygiène et santé,€8.39,Aromathérapie,Huiles végétales,8,2024-04-20 19:18
3380380090707 - Douce Nature - Gel Intime Douceur à la Rose - 500ml - 2222 - 8890826522951,8890826522951,€3.24,Gel Intime Douceur à la Rose - 500ml,,14,€10.79,Hygiène et santé,€9.71,Intime,Nettoyants,22,2024-01-08 23:33
4018852032021 - Bebivita - Petit pot pommes mangues bio - 250g - 4071 - 7676345188607,7676345188607,€0.60,Petit pot pommes mangues bio - 250g,30/4/2025,17,€2.49,Bébé,€1.87,Alimentation bébé,Petits pots et repas,42,2025-03-08 08:35
3423720002326 - Bio Soleil - Marbré Au Chocolat bio - 260g - 3162 - 7549597581567,7549597581567,€1.98,Marbré Au Chocolat bio - 260g,4/5/2025,89,€7.57,Épicerie sucrée,€6.06,Biscuits et gâteaux,Moelleux et gâteaux,10,2024-10-15 17:37
3489940049510 - Cosmo Naturel - Lait corps hydratant à l'orange et à la mandarine bio - 500ml - 2865 - 8869783372103,8869783372103,€2.60,Lait corps hydratant à l'orange et à la mandarine bio - 500ml,,76,€10.50,Hygiène et santé,€8.40,Corps,Crèmes/ soins/ exfoliants,45,2024-02-01 19:58
"3770021902047 - Jour de Thé - Infusion menthe, camomille et lavande bio - 60g - 2731 - 8450790293831",8450790293831,€2.50,"Infusion menthe, camomille et lavande bio - 60g",30/4/2025,224,€12.90,Boissons,€8.38,Boissons chaudes,Infusions et tisanes,21,2024-04-03 19:13
3489940550078 - Bio Since 1975 - Crème universelle Aloe vera bio - 200ml - 1515 - 9052891840839,9052891840839,€3.97,Crème universelle Aloe vera bio - 200ml,,44,€15.89,Hygiène et santé,€11.92,Corps,Crèmes/ soins/ exfoliants,26,2024-12-04 09:24
3291960016355 - Émile Noël - Sauce tartare bio - 90g - 4638 - 7622987448575,7622987448575,€1.00,Sauce tartare bio - 90g,28/5/2028,143,€3.25,Épicerie salée,€2.93,Sauces,Autres sauces,61,2024-06-02 11:48
3538396131406 - Coslys - Gel douche à la Mélisse bio - 380ml - 2164 - 9002932371783,9002932371783,€1.89,Gel douche à la Mélisse bio - 380ml,,16,€6.55,Hygiène et santé,€5.24,Corps,Gels douche et savons liquides,7,2025-02-26 08:23
3264221613730 - Publi Embal - Sacs congélation spécial 24 glaçons - x10 - 4519 - 8950863561031,8950863561031,€0.52,Sacs congélation spécial 24 glaçons - x10,,41,€3.32,Maison,€1.83,Accessoires ménagers,Cuisson/ emballage/ conservation,34,2024-01-18 15:25
3760308961010 - Biodyssée - Gingembre moulu bio - 130g - 2282 - 8925317595463,8925317595463,€1.04,Gingembre moulu bio - 130g,30/4/2025,58,€5.66,Épicerie salée,€4.53,Épices et condiments,Épices et aromates,93,2024-11-21 15:52
3770000507232 - Id Bio - Piment Langue d'Oiseau entier bio - 20g - 4003 - 7972022386943,7972022386943,,Piment Langue d'Oiseau entier bio - 20g,31/5/2025,0,€3.74,Épicerie salée,€2.81,Épices et condiments,Épices et aromates,31,2024-07-10 22:50
3770000506808 - Id Bio - Mélange d'épices pour Guacamole en poudre bio - 40g - 3244 - 7972023075071,7972023075071,€1.49,Mélange d'épices pour Guacamole en poudre bio - 40g,30/6/2027,11,€4.46,Épicerie salée,€4.01,Épices et condiments,Épices et aromates,21,2025-02-01 17:26
3760115096257 - Ma Ruche Bio - Miel d'acacia de la plaine du Danube bio - 250g - 3320 - 8870279414087,8870279414087,€5.60,Miel d'acacia de la plaine du Danube bio - 250g,7/11/2025,86,€11.00,Épicerie sucrée,€8.25,Pâtes à tartiner / Miels / Confitures,Miels et sirops,34,2024-09-06 13:28
3770000505276 - Id Bio - Coriandre en poudre bio - 30g - 1297 - 7972022026495,7972022026495,€0.79,Coriandre en poudre bio - 30g,1/10/2027,91,€3.07,Épicerie salée,€2.46,Épices et condiments,Épices et aromates,64,2024-07-05 23:51
3701311400714 - Emblica - Shampoing Brillance et Hydratation bio - 250ml - 4798 - 8952120705351,8952120705351,€3.23,Shampoing Brillance et Hydratation bio - 250ml,,71,€12.90,Hygiène et santé,€9.03,Cheveux,Shampoings liquides,49,2025-02-02 12:51
3760075816674 - Arc En Sel - Huile de Camélia ou Thé vert bio - 30ml - 2537 - 8870278267207,8870278267207,€5.71,Huile de Camélia ou Thé vert bio - 30ml,,18,€17.90,Hygiène et santé,€14.32,Aromathérapie,Huiles végétales,5,2025-02-08 19:53
7617014202707 - Café Royal - Café moulu espresso 8/10 Pérou bio - 10 capsules - 718 - 7633180492031,7633180492031,€1.16,Café moulu espresso 8/10 Pérou bio - 10 capsules,31/12/2025,309,€3.50,Boissons,€3.15,Boissons chaudes,Cafés et chicorées,62,2024-01-10 09:58
3229820762050 - Tanoshi - Sauce Soja Japonaise - 200ml - 4626 - 7939818062079,7939818062079,€1.11,Sauce Soja Japonaise - 200ml,3/4/2025,361,€3.69,Épicerie salée,€1.84,Sauces,Cuisine du monde,155,2024-04-10 22:35
3760303750008 - Italians do it better - Sauce tomate et basilic bio - 185g - 4656 - 8394369237319,8394369237319,€1.35,Sauce tomate et basilic bio - 185g,23/8/2025,81,€4.50,Épicerie salée,€4.05,Sauces,Sauces tomate,15,2025-02-26 19:11
3229820803265 - Tanoshi - Nouilles de riz précuites saveur phô boeuf - 380g - 3621 - 8917058552135,8917058552135,€1.26,Nouilles de riz précuites saveur phô boeuf - 380g,23/4/2025,44,€4.19,Épicerie salée,€3.77,Conserves/bocaux et plats cuisinés,Plats préparés,46,2024-06-02 11:48
3760308960983 - Biodyssée - Poivre noir moulu bio - 140g - 4055 - 8925317038407,8925317038407,"€2.13, €2.37, €2.61, €1.56",Poivre noir moulu bio - 140g,30/9/2025,299,€7.90,Épicerie salée,€7.11,Épices et condiments,Épices et aromates,17,2025-02-12 11:38
7617014191902 - Café Royal - Café Royal expresso forte 8/10 - 10 capsules - 737 - 7722344874239,7722344874239,€1.09,Café Royal expresso forte 8/10 - 10 capsules,31/7/2025,27,€3.30,Boissons,€2.97,Boissons chaudes,Cafés et chicorées,76,2023-12-20 09:42
3770000506839 - Id Bio - Mélange quatre baies en grains bio - 40g - 3291 - 8416730775879,8416730775879,€1.39,Mélange quatre baies en grains bio - 40g,30/8/2027,86,€5.38,Épicerie salée,€4.30,Épices et condiments,Épices et aromates,14,2024-01-13 21:44
3291960016331 - Émile Noël - Sauce béarnaise bio - 90g - 4584 - 7622987251967,7622987251967,€1.00,Sauce béarnaise bio - 90g,26/5/2026,138,€3.15,Épicerie salée,€2.83,Sauces,Autres sauces,53,2025-02-26 07:24
3229820803883 - Bjorg - Céréales Bio Croc' kid cacao noisettes - 350g - 815 - 8838249414983,8838249414983,€1.11,Céréales Bio Croc' kid cacao noisettes - 350g,25/3/2025,118,€3.69,Épicerie sucrée,€1.84,Petit-déjeuner,Céréales petit-déjeuner,405,2024-01-14 11:59
4018874010496 - Aries - Spray répulsif textile anti-moustiques - 100ml - 5092 - 8452873191751,8452873191751,€3.61,Spray répulsif textile anti-moustiques - 100ml,30/4/2025,58,€12.04,Maison,€10.23,Accessoires ménagers,Insecticides,8,2025-01-11 17:49
3380390173506 - Priméal - Tortils au citron et safran bio - 250g - 5477 - 8500978352455,8500978352455,€1.10,Tortils au citron et safran bio - 250g,11/2/2027,154,€3.80,Épicerie salée,€3.42,Pâtes/riz et légumineuses,Pâtes,26,2025-03-31 17:50
3380380095047 - Priméal - Macédoine de légumes de France bio - 720ml - 3121 - 8933961400647,8933961400647,€1.24,Macédoine de légumes de France bio - 720ml,30/4/2025,45,€4.44,Épicerie salée,€3.77,Conserves/bocaux et plats cuisinés,Légumes,320,2024-01-09 13:41
3229820792262 - Tanoshi - Sauce Soja Réduite en Sel - 200ml - 4627 - 7939818389759,7939818389759,€1.11,Sauce Soja Réduite en Sel - 200ml,3/1/2026,28,€3.69,Épicerie salée,€3.32,Sauces,Cuisine du monde,50,2024-05-18 19:10
3489940061499 - Cosmo Naturel - Beurre de cacao équitable bio - 100ml - 280 - 8449377698119,8449377698119,€3.83,Beurre de cacao équitable bio - 100ml,,19,€13.15,Hygiène et santé,€9.21,Corps,DIY,4,2025-03-11 22:30
3760308961492 - Biodyssée - Cristaux de sel blanc des pyrénées bio - 90g - 1520 - 8925315236167,8925315236167,€1.32,Cristaux de sel blanc des pyrénées bio - 90g,,86,€3.96,Épicerie salée,€2.81,Épices et condiments,Épices et aromates,28,2023-12-20 17:42
3664437000384 - Bélice - Savon visage jardin d'éden bio - 80g - 4742 - 8926584013127,8926584013127,€2.48,Savon visage jardin d'éden bio - 80g,,20,€8.50,Hygiène et santé,€5.95,Visage,Nettoyants et démaquillants,7,2025-02-15 18:41
3760308961164 - Biodyssée - Anis vert en graines bio - 40g - 76 - 8925315989831,8925315989831,€0.91,Anis vert en graines bio - 40g,30/9/2025,195,€3.04,Épicerie salée,€2.28,Épices et condiments,Épices et aromates,39,2023-12-08 09:54
3760001760446 - Tidoo - Eau nettoyante micellaire au calendula bio - 500ml - 1816 - 7549556850943,7549556850943,€2.97,Eau nettoyante micellaire au calendula bio - 500ml,1/12/2099,20,€9.90,Bébé,€7.92,Hygiène bébé,Bain et soin,17,2025-02-04 14:35
4046871005276 - Cosmoplast - Pansements Quick Zip résistants à l'eau - 20 unités - 3726 - 7694172586239,7694172586239,€0.48,Pansements Quick Zip résistants à l'eau - 20 unités,,29,€2.44,Hygiène et santé,€1.71,Santé,Parapharmacie,253,2024-02-17 06:43
3538396113402 - Coslys - Shampoing pour enfant pomme et poire bio - 500ml - 4831 - 8375095263559,8375095263559,€3.03,Shampoing pour enfant pomme et poire bio - 500ml,,30,€13.69,Hygiène et santé,€7.53,Cheveux,Shampoings liquides,30,2024-09-03 14:25
3701311400738 - Emblica - Shampoing Réparation et Douceur bio - 250ml - 4836 - 8952120770887,8952120770887,€3.48,Shampoing Réparation et Douceur bio - 250ml,,5,€13.90,Hygiène et santé,€10.43,Cheveux,Shampoings liquides,11,2024-09-10 12:49
3770000506822 - Id Bio - Mélange panch phoron bio - 40g - 3279 - 7754873733375,7754873733375,€1.21,Mélange panch phoron bio - 40g,30/4/2027,43,€3.57,Épicerie salée,€3.21,Épices et condiments,Épices et aromates,8,2024-03-28 19:31
3700749302218 - Marcel Bio - Jus d'orange bio - 75cl - 2760 - 8836983128391,8836983128391,€1.16,Jus d'orange bio - 75cl,30/1/2026,5,€5.49,Boissons,€4.39,Jus et boissons végétales,Jus de fruits,85,2025-02-13 10:28
3538394551206 - Etamine du Lys - Piège à mouches pour l'extérieur - 1 piège + 2 sachets - 3991 - 8359205175623,8359205175623,€5.61,Piège à mouches pour l'extérieur - 1 piège + 2 sachets,1/12/2099,30,€18.70,Maison,€14.96,Accessoires ménagers,Insecticides,10,2024-04-04 22:01
3760201134337 - Lamazuna - Nettoyant visage peaux normales parfum exotique bio - 27ml - 3560 - 8459101995335,8459101995335,€2.90,Nettoyant visage peaux normales parfum exotique bio - 27ml,,15,€9.90,Hygiène et santé,€6.93,Visage,Nettoyants et démaquillants,5,2025-01-24 18:54
3770000506600 - Id Bio - Poivre blanc en grains bio - 40g - 4039 - 8416730480967,8416730480967,€2.00,Poivre blanc en grains bio - 40g,21/2/2026,3,€5.07,Épicerie salée,€4.06,Épices et condiments,Épices et aromates,2,2025-02-28 16:36
3770000505238 - Id Bio - Cardamome entière bio - 30g - 776 - 8421110186311,8421110186311,€1.73,Cardamome entière bio - 30g,30/11/2026,9,€5.28,Épicerie salée,€3.96,Épices et condiments,Épices et aromates,15,2025-02-06 10:59
5714820311615 - Lastswab - Disques démaquillants réutilisables verts - 7 unités - 1775 - 8358426247495,8358426247495,€2.16,Disques démaquillants réutilisables verts - 7 unités,,1,€13.26,Hygiène et santé,€9.28,Visage,Accessoires visage,3,2025-02-16 23:08
3770000505962 - Id Bio - Mélange pour Salade en flocons bio - 25g - 3288 - 8416730415431,8416730415431,€1.04,Mélange pour Salade en flocons bio - 25g,31/3/2028,117,€3.53,Épicerie salée,€3.18,Épices et condiments,Épices et aromates,45,2024-04-10 19:05
3264963022005 - Limited Edition - Pâtes aux 4 oeufs plein air et blé - 500g - 3818 - 9052891545927,9052891545927,€0.90,Pâtes aux 4 oeufs plein air et blé - 500g,26/10/2026,131,€2.50,Épicerie salée,€2.25,Pâtes/riz et légumineuses,Pâtes,89,2024-06-05 10:18
8054154870059 - Nascita Italia - Gelée de balsamique - 100ml - 2259 - 8805625135431,8805625135431,€3.00,Gelée de balsamique - 100ml,30/11/2031,54,€14.00,Épicerie salée,€7.70,Huiles et vinaigres,Vinaigres,6,2024-09-30 14:15
3489940063141 - Cosmo Naturel - Solide hygiène intime Hydratant bio - 85g - 4963 - 8357881446727,8357881446727,€2.13,Solide hygiène intime Hydratant bio - 85g,,51,€7.25,Hygiène et santé,€6.53,Intime,Nettoyants,17,2024-07-18 08:12
3770000505221 - Id Bio - Cannelle cassia poudre bio - 40g - 756 - 7972021928191,7972021928191,€1.09,Cannelle cassia poudre bio - 40g,31/1/2027,45,€3.62,Épicerie salée,€2.53,Épices et condiments,Épices et aromates,37,2024-10-01 22:15
"3770022487062 - Allpampa - Mix Tropical, mélange 4 fruits bio - 24g - 3413 - 8885529346375",8885529346375,€1.15,"Mix Tropical, mélange 4 fruits bio - 24g",30/3/2025,21,€4.59,Épicerie sucrée,€2.29,Fruits secs et séchés,Fruits séchés,220,2025-01-10 17:28
5714820311318 - Lastswab - Disques démaquillants réutilisables avec étui turquoise - 7 unités - 1773 - 8374564880711,8374564880711,€2.16,Disques démaquillants réutilisables avec étui turquoise - 7 unités,,7,€13.95,Hygiène et santé,€9.76,Visage,Accessoires visage,8,2024-09-11 08:48
7617014202820 - Café Royal - Café en grains Pérou Classico bio - 500g - 691 - 7792285843711,7792285843711,€4.68,Café en grains Pérou Classico bio - 500g,30/4/2025,128,€14.29,Boissons,€12.86,Boissons chaudes,Cafés et chicorées,19,2025-01-03 08:42
3770006030789 - Terra Cérès - Brownie au chocolat et aux noisettes sans gluten bio - 170g - 651 - 8829085057351,8829085057351,€1.90,Brownie au chocolat et aux noisettes sans gluten bio - 170g,30/5/2025,119,€5.50,Épicerie sucrée,€4.95,Biscuits et gâteaux,Moelleux et gâteaux,94,2023-09-06 13:39
3258590000352 - Dardenne - Chocolat noir 71% aux noisettes entières bio - 180g - 984 - 7920930423039,7920930423039,€2.67,Chocolat noir 71% aux noisettes entières bio - 180g,12/9/2025,9,€7.81,Épicerie sucrée,€6.25,Chocolat et confiseries,Tablettes de chocolat,22,2025-04-14 17:19
3770000505900 - Id Bio - Estragon en flocon bio - 20g - 1874 - 7972022649087,7972022649087,€1.19,Estragon en flocon bio - 20g,31/5/2027,183,€3.63,Épicerie salée,€3.27,Épices et condiments,Épices et aromates,9,2024-06-24 14:54
3770014147868 - Another Way - Recharges Shampoing Fleur de lotus x2 - 4339 - 7676344140031,7676344140031,€3.07,Recharges Shampoing Fleur de lotus x2,,9,€13.50,Hygiène et santé,€10.80,Cheveux,Shampoings solides,4,2025-02-03 09:12
3760349450221 - BabyJU - Gel lavant 2-en-1 bébé bio - 500ml - 2226 - 8903293665607,8903293665607,€2.97,Gel lavant 2-en-1 bébé bio - 500ml,1/1/2099,93,€9.90,Bébé,€7.43,Hygiène bébé,Bain et soin,2,2025-01-05 14:15
3380390175524 - Priméal - Spirales blé 3 couleurs au quinoa bio - 500g - 5050 - 8500978516295,8500978516295,€1.13,Spirales blé 3 couleurs au quinoa bio - 500g,13/2/2027,117,€3.89,Épicerie salée,€3.31,Pâtes/riz et légumineuses,Pâtes,63,2025-03-31 13:41
3770004283019 - Secrets des Fées - Gommage hydratant éclat du teint - 8g - 2305 - 8926587814215,8926587814215,€0.96,Gommage hydratant éclat du teint - 8g,28/1/2027,61,€3.85,Hygiène et santé,€3.27,Visage,Nettoyants et démaquillants,18,2024-01-06 09:51
3264963020421 - Sant'Angelo - Coquillettes aux 3 oeufs frais - 500g - 1282 - 8500980220231,8500980220231,€0.75,Coquillettes aux 3 oeufs frais - 500g,17/6/2026,440,€2.50,Épicerie salée,€2.25,Pâtes/riz et légumineuses,Pâtes,165,2024-01-08 12:01
5060519148346 - Pukka - Infusion Hiver Enchanté bio - 20 sachets - 2727 - 8869784125767,8869784125767,€1.30,Infusion Hiver Enchanté bio - 20 sachets,1/2/2026,34,€4.50,Boissons,€4.05,Boissons chaudes,Infusions et tisanes,29,2025-01-23 22:38
4046871003722 - Bel Baby - Maxi carrés pour bébé 100% coton - 60 unités - 3206 - 7733548613887,7733548613887,€1.04,Maxi carrés pour bébé 100% coton - 60 unités,,41,€10.68,Bébé,€5.34,Hygiène bébé,Couches et changes,14,2024-05-07 22:17
3489940063073 - Cosmo Naturel - Gel douche solide sans parfum à l'huile d'olive bio - 85g - 2208 - 9002935386439,9002935386439,€1.70,Gel douche solide sans parfum à l'huile d'olive bio - 85g,,15,€7.40,Hygiène et santé,€5.92,Corps,Savons solides,19,2025-01-23 19:05
5060229013729 - Pukka - Thé noir chai original bio - 20 Infusettes - 5317 - 7549553377535,7549553377535,€1.95,Thé noir chai original bio - 20 Infusettes,30/6/2027,6,€5.49,Boissons,€4.39,Boissons chaudes,Infusions et tisanes,2,2025-04-15 05:20
3770000505450 - Id Bio - Mélange d'épices pour Colombo bio - 40g - 3242 - 7972022976767,7972022976767,€0.97,Mélange d'épices pour Colombo bio - 40g,30/6/2027,148,€3.22,Épicerie salée,€2.90,Épices et condiments,Épices et aromates,28,2025-02-05 09:56
3770000505351 - Id Bio - Graines de moutarde noire bio - 60g - 2385 - 8421110251847,8421110251847,€1.20,Graines de moutarde noire bio - 60g,31/10/2024,60,€4.70,Épicerie salée,€3.29,Épices et condiments,Épices et aromates,10,2024-08-27 02:05
3760050653577 - Kitz - Liquide de rinçage en machine - 5L - 3057 - 8437644656967,8437644656967,€3.80,Liquide de rinçage en machine - 5L,,34,€15.20,Maison,€12.92,Entretien et ménage,Vaisselle,22,2025-03-03 17:47
"4008871216113 - Albal - Sacs de congélation avec liens, taille moyenne, 25x27cm - 30 unités - 8407 - 9940798079303",9940798079303,€0.92,"Sacs de congélation avec liens, taille moyenne, 25x27cm - 30 unités",,67,€2.89,Maison,€2.60,Accessoires ménagers,Cuisson/ emballage/ conservation,13,2025-02-27 15:32
3326101000532 - Argiletz - Après-shampoing argile orange - 200ml - 103 - 8455685472583,8455685472583,€2.78,Après-shampoing argile orange - 200ml,,21,€9.80,Hygiène et santé,€6.86,Cheveux,Masques et soins,21,2025-02-04 22:40
3700749300481 - Infusion - Infusion glacée pêche citron verveine bio - 1L - 2725 - 8676043915591,8676043915591,€0.56,Infusion glacée pêche citron verveine bio - 1L,11/6/2025,116,€2.80,Boissons,€2.38,Sirop/thés glacés/sodas,Thés et infusions glacées,94,2024-08-31 19:55
3760308960136 - Biodyssée - Thé Glacé pêche bio - 1L - 5309 - 7754874290431,7754874290431,€0.99,Thé Glacé pêche bio - 1L,5/6/2025,174,€3.30,Boissons,€2.31,Sirop/thés glacés/sodas,Thés et infusions glacées,106,2024-04-03 19:11
3770000506877 - Id Bio - Clou de girofle en poudre bio - 30g - 1085 - 8416730808647,8416730808647,€1.04,Clou de girofle en poudre bio - 30g,30/5/2027,22,€4.20,Épicerie salée,€3.15,Épices et condiments,Épices et aromates,3,2025-02-26 11:47
3770000505382 - Id Bio - Paprika fort en poudre bio - 40g - 3737 - 7972022321407,7972022321407,€1.09,Paprika fort en poudre bio - 40g,30/6/2027,125,€3.72,Épicerie salée,€3.16,Épices et condiments,Épices et aromates,25,2024-05-10 23:32
